Neighborhood,Name
R1,Rione Monti
R2,Rione Trevi
R4,Rione Campo Marzio
R5,Rione Ponte
R7,Rione Regola
R8,Rione Sant’Eustachio
R9,Rione Pigna
R11,Rione Sant’Angelo
R12,Rione Ripa
R13,Rione Trastevere
R14,Rione Borgo
R15,Rione Esquilino
R16,Rione Ludovisi
R17,Rione Sallustiano
R18,Rione Castro Pretorio
R19,Rione Celio
R20,Rione Testaccio
R21,Rione Prati
Q1,Quartiere Flaminio
Q2,Quartiere Parioli
Q3,Quartiere Pinciano
Q4,Quartiere Salario
Q5,Quartiere Nomentano
Q6,Quartiere Tiburtino
Q7,Quartiere Prenestino Labicano
Q8,Quartiere Tuscolano
Q9,Quartiere Appio Latino
Q10,Quartiere Ostiense
Q11,Quartiere Portuense
Q12,Quartiere Gianicolense
Q13,Quartiere Aurelio
Q14,Quartiere Trionfale
Q15,Quartiere Della Vittoria
Q16,Quartiere Monte Sacro
Q17,Quartiere Trieste
Q18,Quartiere Tor di Quinto
Q19,Quartiere Prenestino Centocelle
Q20,Quartiere Ardeatino
Q21,Quartiere Pietralata
Q22,Quartiere Collatino
Q23,Quartiere Alessandrino
Q24,Quartiere Don Bosco
Q25,Quartiere Appio Claudio
Q26,Quartiere Appio Pignatelli
Q27,Quartiere Primavalle
Q28,Quartiere Monte Sacro Alto
Q29,Quartiere Ponte Mammolo
Q30,Quartiere San Basilio
Q31,Quartiere Giuliano Dalmata
Q32,Quartiere Eur
Z1,Val Melaina
Z2,Castel Giubileo
Z3,Marcigliana
Z4,Casal Boccone
Z5,Tor San Giovanni
Z6,Settecamini
Z7,Tor Cervara
Z8,Tor Sapienza
Z9,Acqua Vergine
Z10,Lunghezza
Z11,San Vittorino
Z12,Torre Spaccata
Z13,Torre Angela
Z14,Borghesiana
Z15,Torre Maura
Z16,Torrenova
Z17,Torre Gaia
Z18,Capannelle
Z19,Casal Morena
Z20,Aeroporto di Ciampino
Z21,Torricola
Z22,Cecchignola
Z23,Castel di Leva
Z24,Fonte Ostiense
Z25,Vallerano
Z26,Castel di Decima
Z27,Torrino
Z28,Tor de' Cenci
Z29,Castel Porziano
Z30,Castel Fusano
Z31,Mezzocammino
Z32,Acilia Nord
Z33,Acilia Sud
Z34,Casal Palocco
Z35,Ostia Antica
Z36,Isola Sacra 
Z37,Fiumicino 
Z38,Fregene 
Z39,Tor di Valle
Z40,Magliana Vecchia
Z41,Ponte Galeria 
Z42,Maccarese Sud 
Z43,Maccarese Nord 
Z44,La Pisana
Z45,Castel di Guido 
Z46,Torrimpietra 
Z47,Palidoro 
Z48,Casalotti
Z49,Santa Maria di Galeria
Z50,Ottavia
Z51,La Storta
Z52,Cesano
Z53,Tomba di Nerone
Z54,La Giustiniana
Z55,Isola Farnese
Z56,Grottarossa
Z57,Labaro
Z58,Prima Porta
